이름,견종,세부견종,색상,출생연도,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소
철수,믹스,믹스,White,2020.11,7.16,https://cafethumb.pstatic.net/MjAyMjExMThfMTg1/MDAxNjY4NzcyODI0NjIw.mlU1g2JDmmmaviht63FrvqRqgLTFof0FY3fHurxIWxYg.FZM70ZWMbBbOuXPuHHMpnR2DmMgsKVd09y4YCBoowEkg.JPEG/KakaoTalk_20221118_180154787.jpg?type=f200_200,Y,M,U,"개농장이 폐쇄되면서 시보호소로 그리고 센터로 입소하게된 철수예요.  개농장이란 곳은 뜬장에서 앞으로의 생이 어떻게 될 지 모르고   제대로된 관리는 커녕 사람을 무서워하거나 각종 질병에 노출되기 쉬운 환경입니다.  우리 철수 역시 구조당시부터 매우 사람을 무서워해 도망가기 일쑤였어요.  내미는 손을 피해 도망다니다가 구석에 웅크려 오들 오들 떠는 아이였습니다.  그러나 센터에 입소한 지 한달이 거의 다되어가는 현재  작고 짧은 다리의 포실포실한 철수는 익숙한 센터의 직원을 졸졸 따라다니며 귀찮게도 하고  뽀뽀도 해주고 낯선 사람에게는 누구냐고 멍멍 짖기도 해요. ^-^  아직 관리해주는 사람 이외에는 마음을 완전히 열어주지는 않았지만  계속 간식주고 쓰담 쓰담해주면 ""철수야~이리와~""하고 부르는 소리에 다가와 안기기도 합니다.  이렇게 겁많고 사람의 손을 무서워하는 친구는 신뢰를 바탕으로 하는 시간이 매우 많이 필요해요.  조급하게 생각하지 마시고 천천히 궁금한게 많은 철수가 다가올 수 있도록 시간을 주세요.  산책 역시 완전하게 집안에서 깨방정이 되어 잘 따라올 때 아기 강아지 (퍼피)처럼 산책 훈련을 하셔야 됩니다.  아직 외부의 환경에는 백지같은 아이거든요.  패드배변 훈련중인데 잘하는 편이예요.  귀엽고 사랑스러운 외모의 하얀 캔버스 철수.  반려견으로써 행복한 견생을 아름답게 수 놓아주실 평생 가족을 기다립니다.",서울특별시 마포구
천돌,말티즈,말티즈,Unknown,2015.11,7.16,https://cafethumb.pstatic.net/MjAyMjExMThfMTc1/MDAxNjY4NzcxNTcwNDE2.Ao7q4O3ET4oLVgBg4kSxK2t0nBj8q8o7JwlaQMNSb6Ag.P19FKs4OJoy8vaAwz5Lv3DMQVll-mBCPzEL-cEnNuE0g.JPEG/KakaoTalk_20221118_181308583_06.jpg?type=f200_200,Y,F,U,,서울특별시 마포구
처음,푸들,푸들,White,2021.11,7.16,https://cafethumb.pstatic.net/MjAyMjExMDlfMjAz/MDAxNjY3OTgxMzQ0MzQw.MqClp0o3wRDelc8-_2wzFi5obVRERGC4r50vhVnxryIg.kqVWuIVgx5I2CtHTEVOpJnYWjJHUTonwz7EkP1vqKk0g.JPEG/P1010100.JPG?type=f200_200,Y,M,U,순백색의 천진난만 어린 강아지 처음이예요~  처음이는 그나이대 어린 강아지+ 푸들 견종 특성으로 활발하고 호기심도 많아요.  하지만 많이 맞고 자랐는지 큰소리로 안돼!하거나 물건 떨어지는 소리 등이나면 얼음!하고 긴장하며  움츠려드는 모습이 보입니다.  털 안빠지고 귀엽다는 이유로 우리나라에서 선호도가 높은 견종인 푸들은   생각보다 관리가 많이 필요한 친구예요.  곱슬거리는 털은 적어도 이틀에 한번은 빗지않으면 엉켜서 피부가 안좋아지고 또 기본 3개월마다 미용을 통해  얼굴이나 몸을 정리해줘야 합니다.  또한 매우 활발하고 사람에 대한 친화도가 높아 분리불안이나 슬개골탈구등이 빈번하게 나타나요.  영리하고 똑똑한 만큼 싫어하는 행동에 관해서 단호한 면도 있어 입질등 공격성이 나타날 수도 있습니다.  우리 처음이도 매우 활발하고 아직은 어리고 겁도 많아서 입질 등 공격성 슬개골 탈구 등은 없습니다.  하지만 입양 후 어떻게 관리하는가에 따라 변할 수도 있다는 사실을 꼭 염려해두고 입양신청 부탁드립니다.^^  패드배변 훈련중이며 뽁뽁이 인형을 매우 좋아하는 처음!  살짝 겁도 있고 낯선 사람에게 긴장도 하지만 장난감 하나로 금방 친해질 수있답니다 :)  유치가 거의 그대로 있는 상황에서 영구치가 나있고 센터에서 유치가 빠지고 있어요.   (빠지기 어려운 송곳니만 제거했습니다)  기본 이갈이 용품으로 유치제거 가능합니다.  사랑스런 곱슬 흰둥이 처음이의 평생가족을 기다립니다.,서울특별시 마포구
처럼,믹스,보스턴테리어,Unknown,2020.11,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMjYz/MDAxNjY4OTI3OTAzMjIy.kJwe8c14ugN_jAOazq6sL23cWU0a78Y_t91gZw-MumAg.cGYh6WNPoG5Mrec1T3Sq_LOys6P2Pr2FmW7WiQyWdGsg.JPEG/KakaoTalk_20221118_181755696_15.jpg?type=f200_200,Y,F,U,제대로 된 관리나 사랑을 받지 못하는 애니멀 호더로부터 시보호소로 이동하여 새로운 가족을 찾던 처럼입니다.  얼굴에 점이 있고 동그랗고 귀여운 외모처럼 처럼이는 매우 순하고 사람을 좋아하는 아이예요.  처럼이는 매우 활발하고 순한 견종인 보스턴테리어 혼종이라 털이 완전히 짧지 않은 단모랍니다.  외부 산책이나 사람에 대한 여러 경험도 없어보이고 기본적인 훈련도 받지 못했어요.  그래서 낯선 환경이나 물건 등 긴장을 많이 하는 편이예요  패드배변 훈련중이며 다른 강아지들과도 크게 문제없이 지냅니다. (여러 강아지들과 함께 지내서  강아지 사회성은 매우 좋아요!)   처럼이같이 강아지 사회성은 좋지만 여러 둔감화 훈련이나 기본 훈련이 필요한 아이들은  사회성 좋은 다견가족을 만나면 빛을 발해요!  집에 있는 강아지의 행동을 따라 배우면서 외부 자극에 대한 두려움도 극복하는데 큰 도움이 되기도 하구요 :)  처럼이는 너무 순하고 착해서 처음 반려견을 맞이하거나 어린 자녀가 있는 가정 등   어느 가족과도 잘 어울려요.  다만 털 빠짐이 다소 있는 견종 특성상 털빠짐에 예민한 가족이라면 입양에 심사숙고 부탁드립니다.  사료나 간식 등 식이도 다양하게 먹어보지 못했는 지 어색어색 잘 안먹기도 해요... (이것은 시간이 지나면서 급여해주시면 터득하니까 문제 아닙니다^^)  처음이와 하나 둘 씩 함께 발걸음을 맞춰주실 평생가족을 기다립니다.,서울특별시 마포구
찬이,말티즈,말티즈,"White, Brown",2018.11,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMjc4/MDAxNjY4OTI3OTgwODQw.bGTWnEoSx-SZpBeFD7dixUlolWFGdGBeyYUpyDBzzVwg.3dJDJdJuOsdbXcCEEhBnv6SIWzZYOFO66Qqc2cwYYp4g.JPEG/KakaoTalk_20221118_182929076_10.jpg?type=f200_200,Y,M,U,사람을 너무 좋아하는 순둥순둥 작은 흰둥이 찬이예요!  얼굴 전면이 온통 심하게 갈색으로 탈색이 되어 있어 싹 제거하고 보니   너무 예쁜 반짝이는 눈을 가진 아이였어요!  애교도 많고~ 빗질도 잘 받고 발톱도 잘 자르고!  우리 찬이는 때론 사람이 좋다고 짖기도 하지만 패드배변과 기본 지시어도 잘하는 똑돌이랍니다 :) (수컷이다보니 살짝 마킹은 합니다)  털빠짐이 적고 순해서 어린 자녀가 있거나 처음 반려견을 맞이하는 가족 등 어느 가족과도  적합하지만 약간 질투가 있어서 다견인 경우에는 주의관리가 필요합니다.  푹신한 방석에 누우니 그리운 가족과 예전 생활이 떠오르는 지 어두운 표정을 하던 찬이.  아직 센터에 적응하지 못한 듯 사람에 대한 애정을 많이 요구해요. (분리불안 있습니다.)  반짝이는 별같은 작은 찬이의 평생가족을 기다립니다.,서울특별시 마포구
찬동,믹스,믹스,Unknown,2020.10,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMjA1/MDAxNjY4OTI4MDU5Mzc2.J9JDmCnMwv1LO96g9JVkjPaE-s-4cw0_9Rs_wF4DWtEg.m0F35fiP9y_oO9rtagPwsW69QbsuXAiHU-utiKG7Jj8g.JPEG/KakaoTalk_20221118_175253787_22.jpg?type=f200_200,Y,M,U,귀여운 외모의 포실 포실 똥강아지 찬동이예요!  구조당시 심장사상충에 감염되어 있어 치료중입니다.  사람을 좋아하고 애교도 많지만 겁도 많아서 낯선 사람의 스킨십에 뒷걸음 칠 수있어요.  찬동이는 집안에서 관리를 받지 못한 듯 보여요.  빗질도 무섭고 익숙하지 않은 간식(고구마 말랭이 등)도 안먹고 어색 어색~  막대기에 대한 안좋은 기억이 있는지 미용빗(20센티가량)을 보고는 얼음이 되고 긴장을 많이 했습니다.  하지만 고기 간식을 주며 다정한 말을 걸어주면 긴장이 풀어지는 것을 볼 수있을 정도록 친화적인 친구랍니다 :)  부비부비~ 스킨십도 좋아하고 애교가 많아서 계속 만져달라고 조르는 모습도 보이는 찬동!  패드배변과 기본 지시어 훈련중입니다. (기본 지시어는 곧잘 해요!)  수컷이다보니 약간의 마킹은 있지만 패드에도 잘합니다^^  털이 북슬 북슬한 발바리예요.  털빠짐이 있습니다. 털에 대해 예민하거나 알러지 비염 천식 아토피 등 병력이 있다면 입양전 병원진료를 통해 준비해주세요.  **심장사상충 치료개체이므로 치료완료되기 전 까지는 산책을 할 수 없으며  최대한 흥분하지 않도록 주의 관찰해야 됩니다.**(다견 가족 안됨)  입양전제 임시보호를 통해서 먼저 가족으로 만나볼 수 있으며 치료기간동안 센터에서 의료 지원합니다.  낯을 가리는 친구라서 어린 자녀가 있는 가정보다는 중고등 이상의 자녀가 있거나  성인으로 구성된 가족이 적합합니다.  너구리같은 귀여운 찬동의 평생가족을 기다립니다.,서울특별시 마포구
치퐁,믹스,믹스,Unknown,2020.10,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMTQ4/MDAxNjY4OTI4MTMyNjIy.F79sl0af6Nu_N6FY8MAHG9SbTRBmKgyTFqgKakmIozsg.ieMb0O1wKtm30XOlKSV3A96bpAHwo9l4BOEBKVI-r70g.JPEG/KakaoTalk_20221118_183125253_13.jpg?type=f200_200,Y,F,U,너무 너무 순하고 착하고 귀여운 짧은 다리의 치퐁이예요!  개농장에서 자라서 사람에 대한 겁과 낯선 환경에 대한 적응도가 걱정이었던 친구였지만  센터에 입소해서 금새 적응하고 처음 모습과 달리 꼬리 흔들며 반갑다고 인사해주는 적응력 최고인 아이랍니다 :)  짧은 다리와 환한 미소 그리고 너무 순한 치퐁이는 사람과 생활한 적 없어 기본적인 훈련이 필요해요.  기본 지시어부터 패드배변 훈련 그리고 산책 훈련까지..  똑똑해서인지 패드배변도 하기 시작하고 다른 강아지들에게 반갑다고 막 들이대는 적극성도 지녔답니다.  (어린 강아지 특유의 활발함도 있어요~)  큰소리와 사람에 대한 겁은 살짝 있어서 조심스럽게 간식으로 접근하면 좋아요^^  공격성이 없어 처음 반려견을 맞이하거나 어린 자녀가 있는 가정에게 적합합니다.  사료에 대한 기호성이 적은 편이라 잘 안먹긴 하지만 이또한 좋아질 것으로 생각돼요.  사진으로 다 담을 수없는 착함과 예쁨이 아쉬운 치퐁이랍니다 ^^  사랑스러운 발바리 치퐁에게 새로운 반려견의 삶을 알려주실 평생가족을 기다립니다.,서울특별시 마포구
자림,푸들,푸들,Unknown,2020.10,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMTQy/MDAxNjY4OTI4MzIwOTE2.ErdFKFdWqLLqfh2CT67YGVhpycH4886cOdYV5ADBXG8g.8Z5MRTr3rZhU0XkxStCBQQkmMHwKRXWFAk9_tfjOoogg.JPEG/KakaoTalk_20221118_181116375_03.jpg?type=f200_200,Y,M,U,어린 강아지 그대로 너무 활발하고 깨방정 애교가 넘치는 작은 푸들 자림이예요!  자림이는 지속적으로 입양신청은 있었지만 호흡기가 심하다는 이유와 변심으로 인해  한달 보름 넘게 전염병이 돌고 있는 보호소에 있었습니다.  얼굴이 보이지 않게 심하게 엉키고 오물에 굳어져 거의 갑옷처럼 되어 있어    미용기 칼날이 들어가지 않을 정도였어요.  10년동안 산으로 가출한 양의 털을 제거한 것처럼 두꺼운 털가죽을 벗겨내고보니  작고 여위었지만 두 눈이 반짝이는 자림이를 볼 수있었습니다.  사람을 너무 너무 좋아하고 무거웠던 털을 제거해서인지 방방 뛰며 활발한 모습을 보여주었죠.  추정나이 2살 더 어릴 수도 있는 자림이의 몸상태는 심장사상충에 감염되어 있었습니다.  너무 심하게 관리되지 않고 방치되어 또 다른 질병은 없을까 걱정했지만 운좋게 다른 질병은 없었습니다.  다만 오랫동안 보호소 철장안에 있어 근육이 적고 철장 닿는 피부쪽이 좋지는 않지만 크게 문제는 아닙니다.  많이 혼난듯 지시하는 목소리에도 주눅들고 벌벌 떠는 모습이 보여 도대체 어떤 생활을 했는지 안타까웠어요.  ※※심장사상충 치료기간에는 절대 안정이 필요하며 흥분하지 않도록 산책도 금지됩니다. 물론 흥분도를 높일 수있는 다른 강아지와의 만남이나 흥분 시킬 수있는 장난감 등도 안하는 게 좋습니다.  한달에 한두어번 센터에 방문하여 의료지원을 받아야 합니다.  패드배변 훈련중이며 워낙 호기심도 많고 사람을 좋아하며 깨방정 푸들 견종답게 흥분도가 높습니다.  다른 강아지들에게 놀자고 들이대기도 하고 좋다고 입장난하기도 해요.  공격성도 없고 애교 만점! 뽀뽀쟁이라서 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가족도 적합해요.  **심장사상충 임시보호 가능하며 입양전제 임시보호 우선으로 진행합니다.  작은 별같은 자림이의 평생 가족을 기다립니다.,서울특별시 마포구
조이,믹스,믹스,Unknown,2018.10,7.16,https://cafethumb.pstatic.net/MjAyMjEwMDRfOTAg/MDAxNjY0ODc3MjY3OTg3.IfUDf8vYyTYE2e37AAWKWIjtQkCDfkz8E53kH9KJJVMg.48D1xTm9B3GxVLu26QKV0Ps2ZdSsUBWV8diGJnt3i3Ig.JPEG/P1010036.JPG?type=f200_200,Y,M,U,겁이 많지만 사람도 좋아하고 먹는 것을 매우 좋아하는 보들 보들 강아지 조이예요!  조이는 구조장소가 절이라 그런지 심장사상충에 감염되어 있었습니다.  간혹 종교단체에 맡기거나 유기하는 경우가 종종 있는데 조이도 그렇지 않을까 조심스럽게 추정합니다.  겁이 많아서 낯선 환경에서는 얼음이 되는 조이!  하지만 익숙해지면 꼬리를 살랑이며 이곳 저곳 탐색하는 호기심 많은 강아지랍니다 :)  기본 지시어는 잘 모르지만 곧잘 따라하는 똑똑한 아이예요.  패드배변 훈련중이고(어느 정도 패드에 잘합니다 ^^)  심장사상충 치료하고 있습니다.  ※※심장 사상충 치료기간에는 과도한 흥분을 하지 않도록 주의가 필요합니다.   절대 안정으로 산책 하면 안됩니다.  또한 다른 강아지가 있다면 흥분을 할 수있어 외동으로 임시보호 가는 것이 좋습니다.  한달에 한 두어번 센터를 방문하여 치료를 받아야 됩니다.  털빠짐이 다소 있는 강아지라서 털에 예민하거나 알러지 천식 비염 아토피 등 병력이 있다면 입양전 병원 진료를 통해 준비해주세요.  사료보다는 간식이 더 좋은 편식쟁이!  강아지 친구들과도 잘 지내는 사회성도 좋은 발바리!  수컷이다보니 마킹이 살짝 있어요~  공격성도 없고 너무 순둥 순둥♥  풍성한 털이 비단같이 보들보들한 귀엽고 사랑스러운 조이의 평생가족을 기다립니다.,서울특별시 마포구
아롱,푸들,푸들,Unknown,2020.09,7.16,https://cafethumb.pstatic.net/MjAyMjA5MTVfOTQg/MDAxNjYzMjA5Nzk1Njc4.kEZnyuC2qB-NcxFpd0nqZaWGX9vEVACTPy2NptgPX_4g.dkpHwLHK0Gg0CzUGMozZ5X339vU3u3FPYMSOxfcEvsQg.JPEG/P1010016.JPG?type=f200_200,Y,M,U,사람을 좋아하는 애교쟁이 작은 친구 아롱이예요~^^  아롱이는 다른 강아지도 좋아하지만 살짝 겁이 있어 몸을 숨길 수있는 장소도 좋아해요!  강아지 집으로 지붕이 있고 막혀있는게 좋을 것 같아요~  공격성 없고 워낙 순하지만 에너자이저 친구라서 자주 산책시켜주시고 여러 훈련도 시켜주시면 좋을 것 같아요!  슬개골 탈구가 살짝 있어 미끄럽지 않도록 바닥에 매트를 깔아 주시고  높은 곳 (쇼파나 침대 등)에서 뛰지 않도록 주의해주세요(계단을 설치해주세요^^).  분리불안이 있기 때문에 혼자 생활하는 1인 가족보다는 여러 식구가 있는 가족이 적합합니다.  패드 배변 훈련중이며 워낙 에너자이저라서 가만히 있지 않는 바둑이 아롱이!  푸들+베들링턴 테리어의 혼종인듯 예쁜 외모를 지닌 깨방정 친구예요.  피부와 귓병이 있어 치료했습니다. 당분간 관리해주시면 좋을 것 같아요.  앙증맞은 아롱이의 평생가족을 기다립니다.,서울특별시 마포구
오공,치와와,치와와,Unknown,2020.09,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfOTUg/MDAxNjY4OTI4NDY3MTE3.9NJhYtdGI6_RZqXMAXZ6-LacmbA1Uj8eiD1BRY17884g.Sj5pQee1nJNyEmXMYfmOeJU1B9BGPeWkPuWI_1ic5oIg.JPEG/KakaoTalk_20221118_180457001_17.jpg?type=f200_200,Y,M,U,,서울특별시 마포구
우유,믹스,믹스,Unknown,2021.09,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfNjMg/MDAxNjY4OTI4NTE3NzE4.Ee7UY4AYP7m_8Ho2HzGhH7a_4dg8HJtY13dY-D7_RHQg.mZH7VTBC7Gninaz55PeUZprf5IwnTrCo-r7vn4d1lOkg.JPEG/KakaoTalk_20221118_182342903_09.jpg?type=f200_200,Y,F,U,사람이나 낯선 공간을 무서워하지만 익숙해지면 똥꼬발랄 똥강아지 모습인 우유예요~  사람과의 접촉이 거의 없는 곳에서 자란듯 사람보다는 강아지 친구가 훨씬 더 좋대요 :)  우유는 외동보다는 사회성 좋은 강아지가 있는 가정이 적합합니다.  혼자 사는 1인 가구보다는 여러 식구가 있는 가정이 더 좋구요^^  첫 대면에서 우유의 똥꼬발랄한 모습을 보긴 어려워요. 하지만 사람을 싫어하지 않아  손을 내밀면 다가오기도 한답니다~  (친해지는데  많은 시간이 걸리는 친구는 아니지만  사람이나 낯선 공간을 무서워해 충분히 신뢰와 적응이 끝난 후 산책이 가능합니다.)  패드배변 훈련중이예요.  겁이 많기 때문에 지붕이 있고 좀 닫혀진 개집을 추천드립니다.^-^ *친해지기 전까지 산책은 어렵습니다. 현재 목줄 적응 훈련중이예요.   귀여운 외모를 가진 사랑스러운 우유!  백색의 우유에 다채로운 색을 채워주실 평생가족을 기다립니다.,서울특별시 마포구
율이,믹스,믹스,Unknown,2019.09,7.16,https://cafethumb.pstatic.net/MjAyMjA5MTVfMTYg/MDAxNjYzMjI2NTU0Mjk3.uXx3Vgk4_u64XshOMMUaM5qWqmawOWOe82B3w_82_n0g.Hz-YJisX6TCmsgfYnkSjK3eLimha5s-53OMRT40l4YEg.JPEG/P1010066.JPG?type=f200_200,Y,F,U,사람은 너무 너무 좋아하는 뽀뽀쟁이지만 익숙하지 않은 강아지들은 싫다고 표현해요!  하지만 익숙해지면 신경쓰지 않고 지냅니다.  (다른 강아지들과 사회성은 좋은 편은 아니예요 외동으로 입양가면 좋을 듯 합니다)  다소 털빠짐이 있고 패드배변 훈련중입니다.  작은 체구에 방석둥이라서 배변 패드에 앉을지언정 맨바닥에는 앉지 않겠다는 율이예요~ :)  사람을 너무 좋아하는 친구라 분리불안이 있어요.  그래서 혼자 사는 1인 가족보다는 여러 식구가 있는 가족이 적합합니다.  패드배변 훈련중이며 깔끔쟁이 성격이예요~^^  사랑스러운 작은 발바리 율이의 평생가족을 기다립니다.,서울특별시 마포구
오리,믹스,믹스,Unknown,2019.09,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMzIg/MDAxNjYxNjU5NzkyMjY0._kw67voTEdftdSfiTsZeqLpT9wYQsl3QICWpL39XaEkg.yR1PrQ6LkDKzgU0j75VN_j4WQwJ-fgLGVycpPHjHn2gg.JPEG/P1010435.JPG?type=f200_200,Y,M,U,조용하지만 가끔씩 할말은 하는 겁쟁이 쪼꼬미 오리예요.  구조당시 신고인이 털을 잘랐다고 하는데 일반인이 자른 듯 엉망이었습니다.  슬개골탈구가 있어서 꾸준한 산책과 바닥을 미끄럽지 않게 하고 높은 곳에서 뛰지 않게 하는 등 관리가 필요해요.  사람을 좋아하고 다른 강아지들과도 크게 문제없이 잘 지냅니다.  살짝 겁이 있어서 구석으로 숨는 것을 좋아해요. (오리처럼 겁있는 친구는 지붕이 있고 갇혀진 느낌이 들도록 방석보다는 닫혀진 집이 좋습니다.)  패드배변도 잘하고 착하고 순해서 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등   어느가정과도 적합합니다.  조금만 친해지면 깨방정떨면서 무릎에 푹 안기는 껌딱지 오리!  분리불안이 살짝있어 혼자사는 싱글 가족보다는 여러 식구가 있는 가족이 좋습니다.  인형같은 외모의 오리~  이름을 불러주면 쪼르르 달려와 안기는 사랑스러운 친구예요.  작고 작은 오리의 평생가족을 기다립니다.,서울특별시 마포구
영남,믹스,믹스,Unknown,2021.08,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMTMz/MDAxNjYxNjUyOTk1MTQz.sNXvh0btFIKOYN16uWOEW9TEK7VTTYOd-zzE-hnN-igg.QZledFFtTkcyrwBjkhsVnB6L7RbGhkIuvqbZbCYniO4g.JPEG/P1010415.JPG?type=f200_200,Y,M,U,소심하지만 애교많은 차분한 강아지 영남이예요~  형제인 영우와 함께 구조되었고 영우가 곁에 있다면 용기 뿜뿜 자신감 뿜뿜이 되는 영남이랍니다 :)  중단모로 털빠짐이 심한 편이 아닙니다.  워낙 순하고 살짝 겁이 있는 친구지만 첫대면때 간식과 함께라면 발라당 애교를 보여줄꺼예요^^  순둥순둥~  많이 혼나본 경험이 있는 듯 마킹에 대해 혼내면 바로 구석으로 숨는 행동을 보이기도 했습니다.  아직 어린 1살의 나이.  어린 강아지같이 작은 자극에도 쉽게 좋아하고 흥분하기도 해요.  패드배변 훈련중이며 마킹이 있습니다.  다른 강아지들과도 잘 지내요.  슈나믹스? 시츄믹스?  가위컷 미용을 하면 더욱 귀엽고 예뻐질 영남이랍니다^^  친화적이고 워낙 순해서 어린 자녀가 있거나 처음 반려견을 맞이하는 가정 등 어느가정과도 적합해요.  사랑스러운 영남이의 평생가족을 기다립니다.,서울특별시 마포구
영우,믹스,믹스,Unknown,2021.08,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMTc1/MDAxNjYxNjUyMTk4NjQ3.MDTKRs3KGLii_1AqTwQFE4rtyhT8NYFFiyLIbT6FLe0g.xyhPwxjGHrE56wUKVwyu2spuLiQjAsuyGHtdWsUkczEg.JPEG/P1010293.JPG?type=f200_200,Y,M,U,아주 아주 귀엽고 활발한 귀염둥이 영우랍니다^^  영우는 형제인 영남과 함께 구조되어 센터에 입소했어요.  짜짱 주둥이에 꼬리를 프로펠러처럼 붕붕붕~  약간 겁이 있고 사람을 너무 너무 좋아해서 보자마자 희뇨(오줌지림)이 살짝 있어요.  어린 나이답게 매우 활발하고 작은 자극에도 좋다고 난리인 아이예요.  털빠짐은 보통이고 공격성 없고 에너지가 많은 친구라서   어린 자녀 또는 처음 반려견을 맞이하는 가정 등 어느 가족과도 적합합니다.  매우 토속적인 외모를 해서인지 성격도 너무 너무 좋은 영우.  마킹이 있고 다른 강아지들도 너무 좋아해요.  패드배변 훈련중입니다.  조금만 만져도 발라당~  모든 것을 내어주는 순둥이 영우!  구김살 없이 너무 맑고 어린 강아지 특유의 명랑함이 보이는 영우의 평생가족을 기다립니다.,서울특별시 마포구
슈아,믹스,믹스,White,2020.08,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMjI3/MDAxNjYxNjUwMTY0NTY2.PNniPQyng3r9KThUZX1l3vXPudH_u5uHHu0AibNJEbEg.TgdeinWLB5zr3klTOfvbBHGzFxKHXJdwSBN1QwFfk_Yg.JPEG/P1010152.JPG?type=f200_200,Y,M,U,사람 좋아하고 순한 흰둥이 슈아예요~  차분하면서 사람에 대한 애정이 넘치는 친구랍니다.  한 여름 산책로 나무에 며칠을 묶여 있었다고 합니다.  누군가 슈아를 보고 데려가길 바랬던걸까요?  한여름 무척 뜨거운 햇볕으로 인해 탈수등 건강에 위험을 끼칠지도 모르는데 말이죠.  시민분의 신고로 시보호소로 이동하였고 새로운 가족이 나타나지 않아 센터에서 구조했어요.  어린 나이에 유기되었지만 사람에 대한 믿음은 굳건한 슈아랍니다.  지저분하고 심하게 오염된 털은 위생미용을 해서 털빨(?)인 강아지 슈아의 외모가 돋보이지 않지만  다시 길게 기른 후 예쁘게 미용을 한다면 어느강아지보다 예쁜 슈아랍니다. :)  수컷이다 보니 살짝 마킹을 하고 패드배변 훈련중입니다.  순둥이라 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등 어느가족과도 적합합니다.  눈치를 많이 보고 다가감에 잠시 주춤하는 것이 아마도 전 가족과의 삶에서 비롯됐음을 알기에   살짝 마음도 아프지만 사랑으로 보살펴 주시면 극복 가능합니다.  몇번의 쓰다듬에 발라당 전부를 내어주는 착하고 순한 슈아.  상처받았지만 사람을 너무 좋아하는 순둥이.   책임이라는 이름의 사랑으로 평생을 함께 해 주실 평생가족을 기다립니다.,서울특별시 마포구
성지,말티즈,말티즈,White,2019.08,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMTQ0/MDAxNjYxNjQ4NjY4MzEz.Izdb09tEN2uY0A1yHUcdIQozQBK725joytMfSTsADygg.DtQBKP6fahHGQWaek_5w7Ahyj3r-Kk_f1cEQrf05ekYg.JPEG/P1010193.JPG?type=f200_200,Y,M,U,뭐든 신나고 재밌고 활력 넘치는 극강 에너자이저 흰둥이 성지예요^^  쪼그만 다리로 우다다 뛰어다니며 이친구 저친구에게 간섭도 잘하고  사람이 좋아서 달려들어 뽀뽀하며 앵기는 센터의 오지라퍼랄까요? :)  말티즈의 흰색 털과 약간 곱슬거리며 짧은 다리를 지닌 말티 믹스아이 성지^^  순하고 활발하여 유아 이상의 자녀가 있는 가정이나 처음 반려견을 맞이하는 가정 등 어느가정과도 적합해요.  수컷이다보니 마킹이 있고 패드 배변 훈련중입니다.  밥도 잘먹고 항상 웃는 얼굴의 성지는 볼수록 매력적인 친구예요.  털빠짐이 적지만 강아지 알러지나 비염. 아토피 천식 등 병력이 있다면 입양전 병원진료를 통해 입양준비를 해주세요.  에너지가 넘치기 때문에 산책등을 통해 충분히 소비시켜주셔야 됩니다. ^^  성격이 급해서 잠시도 가만히 있지 않아요 ㅎㅎㅎ  집안에 활력을 불어 넣어줄 사랑둥이 성지의 평생가족을 기다립니다.,서울특별시 마포구
삼식,슈나우져,슈나우져,Unknown,2019.08,7.16,https://cafethumb.pstatic.net/MjAyMjA4MjhfMTUy/MDAxNjYxNjQ3MjE3ODcy.pjGnWOvh4ZAaXwuHKAKL1ET7SRMMQvgsV8XhxM8p5-Mg.LpvrPEV2fg0dU-jshTI90tCBV1VVou10D2y0CC7twIIg.JPEG/P1010002.JPG?type=f200_200,Y,M,U,애교많고 활발한 에너자이져 삼식이예요~!  사람을 좋아하고 친화적인 친구로 공격성이 없어 어린 자녀가 있거나  처음 반려견을 맞이하는 가족에게도 적합해요!   다른 강아지 친구들과도 문제없이 잘 지낸답니다 :) (마운팅이 좀 있어요~ ㅎㅎㅎ)  패드배변 훈련중이며 털빠짐이 적은 아이예요.  수컷이다보니 마킹을 합니다. 입양후 가정에 안정되고 자주 산책해주시면 마킹이 줄어듭니다.  구조당시 외이염과 결막염이 심해 치료중이며 당분간 치료를 해야 돼요.  어린 나이에 활발하기 때문에 산책을 많이 해주시면 좋을 것 같아요.  산책도 잘하는 편이예요^^  기본 지시어에도 잘 따르고 뽀뽀도 잘해주는 천진난만한 삼식이의 평생 가족을 기다립니다.,서울특별시 마포구
