Trait,Count
많이움직임,1
덥수룩한털,1
주의,1
겸댕이,1
치와와느낌,1
불량,1
낮가림,1
관리요망,1
꼬리없는듯함,1
풍차꼬리,1
보들보들,1
주위를맴돔,1
자충없음,1
성품,1
우안심함,1
양뒷발,1
귀뒤로,1
핥음,1
외부소음에민감함,1
위턱나옴,1
다른강아지들을좋아하지않음,1
자기중심,1
엄마돌이,1
몽실한털,1
꼬리펠러,1
추움,1
보호병,1
집개,1
팔랑거리는,1
깔끔한,1
곰같음,1
나르시즘,1
여유롭다,1
호떡,1
세모모양,1
백곰느낌,1
건사료섭취,1
털이민들레,1
양후지무릎팥팥,1
아묾,1
웃음터짐,1
맹구닮음,1
분양희망자,1
가정적인,1
비단털,1
케이지파손,1
소녀미,1
주인,1
따라오다,1
딸기포도코,1
겸손함,1
꼬리를물지않음,1
털이빠름,1
콧등약간까임,1
맹한인상,1
안식처,1
외부소음,1
복강지방,1
움직임부족,1
특별함,1
견종속임수,1
독립,1
부어잌,1
털심함,1
발목붕대,1
털부족,1
털빛깔다양,1
웰시코기형제함께생활,1
콧등부어있음,1
앞니두개,1
견사탈출,1
말랑함,1
요조숙함,1
더벅머리,1
나이미확인,1
발달어려움,1
폭신한방석,1
위송곳니빠짐,1
발목부위근육,1
마이웨이,1
털이진하고미간주름,1
특이함,1
세련되는,1
기본훈련필요,1
관리불량,1
힘이없는,1
짝건들임,1
자주나오는,1
냄새맡는것좋아함,1
물씬나는외모,1
길쭉한,1
정확함,1
무시하는경향,1
복부,1
귀파인,1
생식기까짐,1
우렁찬성량,1
이빨결핍,1
고혈압,1
꼬리뭉툭,1
귀양쪽검점,1
양말,1
치아빠짐,1
아랫니네개빠짐,1
사납,1
물그릇,1
걸음불편,1
파절,1
콧등까,1
배쪽털젖음,1
털이빠짐,1
배꼽,1
피지못함,1
전신,1
코밑까짐,1
윗송곳니이상,1
아래송곳니이상,1
가죽끈,1
거부안함,1
말라있음,1
볼록하지않음,1
꼬리휨,1
집상주,1
발가락,1
유전병,1
시력부족,1
발털,1
생식기노출,1
위아래앞니몇개없음,1
검댕,1
덧니,1
치아괜찮음,1
코윗,1
팔꿈치부위,1
걱정,1
경미한탁함,1
털빛상태불량,1
오른쪽더심함,1
다리털엉키,1
비율,1
보행어려움,1
아랫니두개흔들림,1
윗송곳니짝마모,1
등쪽올무파고들어감,1
올무에걸림,1
코주변검반점,1
경련,1
불편함,1
병원확인필요,1
발끝검털,1
왼아래송곳니,1
시끄러움,1
아래앞니결핍,1
양후지불편,1
기본지시어,1
무두운,1
혀옆으로나옴,1
외동,1
왼송곳니마모,1
양뺨,1
소음공포,1
신장질환,1
말려있는꼬리,1
함께,1
잠이가,1
다정다감,1
이빨송곳니없음,1
의지많음,1
부풂,1
목욕친화적,1
데피니트투여,1
싫어하는행동,1
앉음능력,1
발육,1
이끌어주는역할,1
아래앞니세개없음,1
풀씨붙어있음,1
건조,1
적절한훈련필요,1
왼귀손상,1
우안안검손상,1
시골,1
스트레스,1
발가락사이,1
오른윗송곳니마모,1
콧등털없음,1
꼬리끝남김,1
무게확인불가,1
앉다,1
왼발바닥점,1
꼬리꺽임,1
쿠싱증후군,1
오른위송곳니옆이빨없음,1
체력,1
가정적합함,1
뒷목털짧음,1
탐험적,1
아랫니없음,1
양송곳니깨짐,1
윗앞니거의없음,1
완벽함,1
웃음부족,1
앉아있음,1
불어있음,1
치아관리부족,1
장기파열,1
오른쪽귀,1
주택마당적합,1
옵션,1
음낭발적,1
잠많음,1
오른윗송곳니없음,1
귀공자,1
늘어짐,1
아랫뱃처짐,1
주장성,1
자주깜빡임,1
곰팡이,1
콧등홍,1
전염병,1
예방접종완료,1
후지발가락,1
왼송곳니끝깨짐,1
왼귀찢어짐,1
젖소코,1
양앞발,1
건들면싫어함,1
아롱아롱거림,1
털매끄러움,1
모습,1
땅본다,1
윗송곳니사선,1
골격얇음,1
반달곰털,1
배빵,1
입거부,1
모델비율,1
배불,1
오래된집,1
문제행동,1
발손상,1
다리다침,1
포메라니안,1
푹신한털,1
왼윗송곳니손상,1
탁함,1
올라탐,1
마우스펀칭,1
웰시코기스러움,1
혼자서도잘함,1
상주,1
보살핌,1
하우스훈련,1
검코,1
다남,1
사타구니진물,1
사로잡음,1
콧등약,1
두발,1
견종,1
실물깡패,1
뾰족,1
외동타입,1
물질묻음,1
출퇴근,1
이빨확인불가능,1
관리필요한,1
점이있음,1
다리디디못함,1
단호한,1
견종특성유의,1
양앞발휨,1
환한웃음,1
귀옆으로약간뻗음,1
고환한개,1
체력강화필요,1
음낭부어오름,1
오른아래입술,1
생식기혈,1
나이든,1
헥헥,1
사타구니,1
얇음,1
빠른속도,1
스타일리시함,1
다리들기,1
초롱이,1
덜렁거림,1
혀짝내밂,1
다가감느림,1
당뇨병,1
낙천적,1
아래앞니전부,1
위앞니네개빠짐,1
이빨결여,1
만져주기좋아함,1
뇌수막염,1
짓무름,1
꼬리손상,1
검목띠,1
폭신한방석좋아함,1
윗송곳니없음,1
이빨흔들림,1
설악,1
윗앞니일부없음,1
커다란발,1
안면불편,1
잿빛털,1
썬글라스,1
입에웃음,1
불량털,1
앙상한몸빼곡함,1
온기충만함,1
귀털없음,1
몸털긴,1
좌후지못디딤,1
더심함,1
둔감한,1
짝짓기윔,1
영역표시,1
오래된,1
전지겨드랑이,1
입가붉음,1
안과질병,1
좌안튀어남,1
머리묶음,1
털덜빠짐,1
하나빠짐,1
귀손상,1
다리쪽털빠지는,1
호스피스,1
인슐린주사,1
골드빛털,1
함께할,1
자리가리기,1
외향적,1
등쪽피딱지,1
혼자,1
짧꼬리,1
단이,1
신나게흔듦,1
건의없음,1
견주찾는,1
대인,1
치아없음,1
안구탁함,1
가정환경,1
대강,1
매너를배우는,1
목띠,1
목부분붉음,1
검털귀,1
호구,1
갱얼지계,1
인식표없음,1
다쳤던다리,1
오른위,1
앞니덧니,1
왼쪽위,1
우측,1
음낭,1
다리휨,1
치매,1
치아결핍,1
반짝이까망이,1
땡땡이,1
아래앞니부족,1
정확성어려움,1
날씬한체형,1
입술부위,1
활동제한,1
무른변코,1
이빨마모,1
우측윗송곳니빠짐,1
보행의심,1
귀가선하게선,1
이해학습필요,1
특이사항없음,1
라임병예방,1
털탐결,1
아랫배처침,1
꼬리털길,1
절고있음,1
총격,1
두개빠짐,1
힘참,1
털탈출,1
호전,1
단독주택,1
훈련필요한,1
후지발등피,1
수제비귀,1
동양미,1
귀시원,1
패닉경향,1
상안,1
왕성한,1
서스럽,1
무릎,1
빗질무서움,1
뒷다리기형,1
앉음잘함,1
털푸석함,1
털푸석,1
격정,1
아이보리패턴,1
참함,1
손대기힘,1
까리한입모양,1
힘이강함,1
다른강아지와잘지냄,1
삼안검노출,1
막대기미흡,1
받아들임성이좋음,1
아나플라즈마,1
지못미,1
왼윗송곳니절반깨짐,1
들개무리,1
꼬리문제없음,1
중재적,1
거동불편함,1
테두리검털,1
중후함,1
쪼그만함,1
앞발,1
우안외사시,1
털정돈,1
아래턱,1
각막건조증,1
치염,1
행복을원하는,1
양말털,1
우측젖꼭지손상,1
염전,1
케어예정,1
서글서글함,1
포스있는,1
잠을좋아함,1
아랫송곳니,1
약간남김,1
오른송곳니없음,1
미간,1
힘들어함,1
우안돌출,1
우측귀이형,1
털털림,1
대퇴골폴립,1
비공협착,1
앞니비틀림,1
외부기생충약,1
사료기호성낮음,1
입자,1
앞머리긺,1
귀테두리찢김,1
털한빛,1
비듬,1
시츄느낌,1
찹쌀떡모양,1
야무진,1
제대,1
가죽벗겨짐,1
위아래앞니남음,1
왼쪽아래송곳니빠짐,1
윗니빠짐,1
고독을즐기는,1
종류혼합,1
귀가선,1
쓰러진,1
견주분찾음,1
위독,1
좌후지허벅지,1
짝이드림,1
케이지나감,1
이빨드러내,1
털난생김,1
좌안돌출,1
소음에민감함,1
귀가선하다,1
다른강아지와사이좋음,1
따라다니는,1
시그니처,1
안정적인보행,1
루돌프,1
귀옆으로뻗음,1
발밖으로뒤틀림,1
아랫니확인불가,1
배농피증,1
오른귀짝처짐,1
윗앞니몇개빠짐,1
아이,1
실물,1
하트,1
누구,1
다른,1
뒷발차기,1
귀짝펴진,1
송곳니절반깨짐,1
이름요미,1
락처없음,1
우람함,1
둥글둥글,1
시원시원한이목구비,1
참아줌,1
외모좋음,1
안검하수,1
잇몸파임,1
인미소,1
입모양이웃는,1
흔들리는,1
발가락여섯개,1
쫄쫄거리는,1
다리팔꿈치심함,1
마르다,1
신체,1
이마딱지,1
급함,1
끈묶여옴,1
에르리히아,1
시선강탈,1
화낸새인상,1
지시어,1
털관리요망,1
보너스,1
하운드,1
사진미,1
몰키느낌,1
케이지어려움,1
직구,1
귀가선명함,1
꼬리길이가길다,1
잇몸에피남,1
거대함,1
털빠지는,1
털이길고,1
개성,1
털이북실북실한,1
앞니부분결핍,1
이해함,1
기저귀,1
프론트라인조치,1
왼쪽으로돔,1
짝김,1
꼬깔모,1
다름,1
이마털묶음,1
짝짝이가면,1
치와와,1
호의,1
귀반접함,1
윗턱튀어나옴,1
원숭이라인,1
가르마,1
검사미실시,1
말로형용할수없는외모,1
형제인듯한닮음,1
옆모습,1
불편한앞발,1
조각,1
똥오줌,1
배랑,1
진무른,1
몸통,1
찡찡이,1
관경병접종,1
관경병,1
혼남경험,1
개그맨닮음,1
관리있음,1
우측짝저,1
아이보리,1
창상,1
유사함,1
아련한외모,1
꼬리민감,1
뒷다리딛기힘들어함,1
흔들거리는이빨있음,1
너구리닮음,1
콜백성향,1
사진카메라,1
바둥거림,1
오동통한다리,1
입술이뽀얗,1
머리긴,1
긴머즐,1
가위로자름흔적,1
시원한이목구비,1
이빨몇개안남음,1
자유분방한헤어스타일,1
예술가느낌,1
아랫앞니빠짐,1
퐁상,1
커피향,1
안구문제,1
조화,1
생식기기형,1
집중력,1
치임주의,1
숨김,1
아래로쳐진귀,1
털듬성,1
호빵을물고있는입,1
고랑,1
반겨줌,1
주인찾음,1
등쪽털긺,1
새날개같음,1
교육가능,1
웃음많음,1
나이부정,1
검둥이,1
동그랗다,1
의료지원필요,1
늑대상의,1
감사함을표현,1
미얀,1
잠복성공,1
후지농피증,1
약간비틀거림,1
정확한나이,1
앞니손상,1
걷기어려움,1
반환,1
꼬물이느낌,1
민들레털,1
짝짝이함,1
우후지발목,1
달려다녀요,1
이빨하나빠짐,1
특징있는외모,1
가방과함께,1
입술,1
양옆구리,1
안절부절못함,1
늘씬한체형,1
냄새감지,1
왔다갔다,1
내실근육,1
푸른사료,1
크고귀세움,1
매너기저귀,1
꼬리털부족,1
젖분비,1
변비,1
반짝임,1
양앞다리꺾임,1
말랑말랑함,1
돌격형,1
꼬리민감함,1
안절부절못,1
캐주얼,1
사시,1
학대의심,1
화려한패턴,1
펴진귀,1
사막여우형제,1
완벽한모델포즈,1
점잖음,1
여리여림,1
보호소에서보호중,1
행동굼뜸,1
후지절음,1
마모됨,1
단모,1
나타나줘요,1
너구리상,1
근력강화,1
발열,1
등털밀림,1
미소지어지다,1
톱빠짐,1
샤프한털,1
냄새맡음,1
동글동글한외모,1
뾱뾱,1
이빨확인어려움,1
뼈들어남,1
남김,1
초롱초롱,1
고라니,1
의지,1
미상,1
외부활동,1
장기체류가능,1
교감능력,1
반듯한외모,1
까만,1
말썽안함,1
여우상,1
어미와새끼,1
털밀림,1
냄새남,1
여포,1
깔끔한이미지,1
뇌진탕,1
예후관찰,1
다루기좋음,1
효과적,1
양후지미사용,1
젖이불어있음,1
하얗,1
철사감겨있음,1
아랫니결핍,1
몸듬성듬성,1
혼자있음어려움,1
손상심,1
안락함,1
안면부털밀림,1
헐떡거림,1
전체손상심,1
겸딩,1
몸떰,1
우측윗송곳니흔들림,1
좌측앞니결핍,1
귀모양다름,1
미끄럼방지,1
질병민감,1
치유,1
제대허니아,1
성견,1
보행안하려함,1
아랫니만있음,1
외모문제,1
양아래송곳니,1
발진,1
입냄새,1
귀테두리,1
왼송곳니휘어있음,1
촉촉,1
급식,1
발발함,1
안구,1
접착성,1
왼쓸개골,1
담요함께옴,1
뒷다리못씀,1
교육숙련,1
털정리필요,1
깔끔한인상,1
길쭉한털,1
안락을찾음,1
방치,1
새끼와함께함,1
고개꺾임,1
진흙묻음,1
츄잉이의존,1
묻숯검댕,1
깨방정,1
날개,1
교육,1
골반,1
아랫니세개남음,1
윗니몇개없음,1
정확한나이확인불가,1
알려진,1
새침한,1
단아한,1
뽀뽀쟁이,1
가피형성,1
주인바라기,1
내장이상,1
외형,1
들이대는,1
블루멀,1
독스포츠능숙함,1
넘사벽,1
부들부들한털,1
토끼모,1
특이털코트,1
항문낭문제,1
까칠함,1
태선화,1
시끌벅적한환경적합,1
우안핵경화,1
엉덩이근처털거의없음,1
보행곤란,1
발목아래기형,1
다리강직,1
귀가둔하,1
털섞임,1
감사함,1
길거리생활,1
보석같아이,1
관리상태안좋음,1
우안없음,1
갑상선저하증,1
호텔장안,1
무덤덤,1
집지킴,1
내려가,1
도톰,1
빠진이빨,1
긴꼬리털,1
목드레싱,1
수혈,1
사지묶임,1
다리털일부덜밀림,1
정상적,1
반쪽털,1
소수,1
숨쉬기불편,1
오른위송곳니빠짐,1
송곳니많음,1
보호본능적,1
힘이세다,1
와일드함,1
다쳤던,1
이빨상태나쁨,1
깔끔한스타일,1
좌후지휨,1
훈련잘됨,1
모범생,1
거밤음,1
안심함,1
짓눌림,1
사냥,1
근육량,1
익숙하지않음,1
쇼파뛰기,1
몸잘못가눔,1
뽀뽀좋아함,1
안달함,1
논다,1
육아,1
세련돋는,1
꼬리길다,1
꼬리중간끝털길다,1
발털짧다,1
코약간기형,1
왼쪽귀끝일부없음,1
차도남스타일,1
점프,1
사려깊음,1
내림상,1
놀랍다,1
뽀송함,1
생식기에민감,1
털빈약함,1
아랫배,1
좌안구적출,1
꼬리달기,1
사료애호,1
모카,1
힘줌,1
기본지시어훈련,1
병원이동,1
양안안구,1
진지함,1
들춰,1
견족류털,1
미동,1
오른쪽엉덩이,1
관리잘되어있음,1
우측전지,1
귀를뒤로젖힘,1
뾱뾱고개흔들기,1
목청좋음,1
독특한아이린,1
꼬리중간끝털,1
포메느낌,1
곰탱이스러움,1
외소함,1
쾌적한집안환경필요,1
외모우유라인,1
바깥생활,1
마음편함,1
비율좋음,1
꼬리짓,1
쭈구리,1
엉덩이털없음,1
특이한외모,1
항문털,1
완료,1
긴몸,1
항문비대,1
털털어짐,1
다리비틀림,1
가출경험있음,1
경험부족,1
아랫니부족,1
손쉬움,1
윗앞니이상,1
이빨튀어나옴,1
잘못씀,1
빠진앞니,1
꼬리중간털,1
들개느낌,1
폭신인형,1
끈리드,1
정확한나이불가능,1
입좁음,1
머리고정,1
앞니일부없음,1
안뜸,1
우측윗송곳니없음,1
긴귀털,1
낡음,1
코푸석,1
뾰족한입,1
어미견과함께,1
다정,1
패기,1
복수증,1
또렷한이목구비,1
두꺼운아이라인,1
귀크고펄럭거리는,1
윗앞니개빠짐,1
정확한나이불가,1
뾱뾱자세,1
엎드려있으려함,1
붉음,1
털길이,1
신체접근성낮음,1
양전지팔꿈치굳,1
